date,start time,peak time,end time,Location,flare type,class,AR_Number,MWC,Z value,P value,C value,MC,Area,DSN,year
6/7/1983,102,104,117,S20E,C,C2.9,4235,BG,E,A,I,EAI,90,105,1983
6/8/1983,631,636,651,N05E,C,C1.0,4277,B,B,X,O,BXO,10,66,1983
6/8/1983,121,125,153,S10W,C,C1.3,4263,BG,F,H,O,FHO,90,66,1983
6/10/1983,1558,1602,1653,N05E,C,C1.1,4328,BG,F,K,O,FKO,20,97,1983
6/12/1983,611,623,645,S13E,C,C1.3,4372,B,D,A,O,DAO,50,53,1983
6/14/1983,2128,2130,2149,S07E,B,B8.9,4208,B,B,X,O,BXO,20,127,1983
6/14/1983,429,430,437,S10W,B,B8.9,4205,B,D,S,O,DSO,40,127,1983
6/16/1983,230,232,241,S13E,B,B8.5,4213,B,C,S,O,CSO,40,121,1983
6/18/1983,1930,1932,1945,S13E,C,C1.0,4213,BG,D,A,O,DAO,10,112,1983
6/19/1983,311,314,329,S07W,C,C1.8,4208,B,D,S,O,DSO,40,149,1983
6/19/1983,213,217,233,S13E,C,C1.1,4213,B,D,A,O,DAO,80,149,1983
6/23/1983,639,642,651,S08E,C,C1.9,4219,BG,D,A,I,DAI,0,206,1983
6/28/1983,125,131,203,S09E,C,C5.6,4227,BG,E,K,O,EKO,50,120,1983
7/5/1983,310,311,323,S09W,C,C1.0,4165,B,E,A,O,EAO,70,123,1983
7/8/1983,917,919,925,S05E,C,C4.3,4278,B,D,A,O,DAO,30,80,1983
7/11/1983,1737,1737,1828,S10E,C,C1.8,4355,B,E,S,O,ESO,40,115,1983
7/16/1983,752,755,833,N17E,C,C1.1,4246,B,D,S,O,DSO,0,123,1983
7/21/1983,132,137,144,N08E,B,B7.6,4255,B,D,S,O,DSO,10,144,1983
7/23/1983,909,945,1002,S08W,M,M1.0,4249,B,D,A,O,DAO,30,126,1983
7/24/1983,1507,1517,1535,S05W,C,C6.2,4256,B,D,A,I,DAI,10,139,1983
7/31/1983,147,147,149,N13W,C,C4.9,4269,B,D,A,O,DAO,70,146,1983
8/1/1983,254,301,313,S09E,C,C1.4,4053,B,C,S,O,CSO,0,173,1983
8/3/1983,1758,1759,1808,S02W,C,C0.9,4110,B,D,A,O,DAO,40,91,1983
8/8/1983,300,309,352,S07E,M,M3.0,4278,B,E,A,I,EAI,10,94,1983
8/13/1983,19,20,56,S09E,C,C2.1,4279,BG,E,A,I,EAI,60,139,1983
8/18/1983,1508,1508,1601,N08W,C,C2.0,4282,B,C,S,O,CSO,30,95,1983
8/20/1983,1802,1806,1839,N14E,C,C3.0,4288,B,C,R,O,CRO,40,53,1983
8/21/1983,1753,1801,1901,N14E,M,M2.3,4288,B,E,S,O,ESO,60,70,1983
8/23/1983,2322,2324,2328,N19W,M,M1.9,4284,A,A,X,X,AXX,30,68,1983
9/1/1983,213,217,247,S09E,C,C3.1,4053,B,D,S,O,DSO,30,137,1983
9/1/1983,1820,1837,1920,S16W,C,C2.5,4046,B,D,A,O,DAO,30,137,1983
9/3/1983,754,758,811,S20W,C,C0.7,4104,B,D,S,O,DSO,30,99,1983
9/4/1983,455,503,514,S12W,C,C2.3,4135,A,A,X,X,AXX,10,80,1983
9/10/1983,259,302,320,N07W,C,C1.3,4328,BG,F,K,O,FKO,70,138,1983
9/10/1983,202,207,225,N23E,C,C6.0,4335,B,C,S,O,CSO,70,138,1983
9/12/1983,229,235,246,N12W,C,C1.8,4375,B,D,A,O,DAO,70,97,1983
9/20/1983,728,731,748,S09E,B,B6.5,4319,A,H,S,X,HSX,70,44,1983
9/23/1983,651,656,710,S16E,B,B8.6,4323,B,C,S,O,CSO,20,58,1983
9/24/1983,414,418,426,S21E,B,B7.9,4324,BG,E,K,I,EKI,50,64,1983
10/1/1983,1626,1646,1710,S16W,C,C1.1,4054,B,D,A,I,DAI,20,114,1983
10/3/1983,28,48,118,S08W,C,C7.5,4105,A,H,S,X,HSX,50,73,1983
10/6/1983,212,215,229,S10E,C,C3.0,4204,BD,E,K,I,EKI,0,124,1983
10/6/1983,112,112,124,S10W,C,C1.3,4201,BG,F,K,I,FKI,0,124,1983
10/7/1983,817,821,841,S20W,C,C2.6,4235,BG,E,H,O,EHO,80,78,1983
10/7/1983,441,446,457,S11W,B,B8.1,4236,B,C,S,O,CSO,20,78,1983
10/8/1983,1126,1127,1145,S09E,C,C1.4,4279,B,E,A,I,EAI,10,84,1983
10/10/1983,1622,1623,1726,N07W,C,C1.9,4328,BG,F,K,O,FKO,0,157,1983
10/12/1983,421,423,443,S16E,B,B5.4,4376,B,D,R,O,DRO,40,112,1983
10/15/1983,59,101,111,N08W,C,C2.3,4328,B,C,A,O,CAO,80,94,1983
10/15/1983,610,636,750,N21W,C,C1.9,4335,BG,D,K,I,DKI,50,94,1983
10/16/1983,1648,1653,1709,S16E,B,B8.1,4341,A,A,X,X,AXX,10,79,1983
10/18/1983,144,145,234,N21W,C,C2.8,4335,BG,E,K,I,EKI,40,82,1983
10/31/1983,106,106,135,S17E,B,B8.4,4351,B,B,X,O,BXO,10,21,1983
11/10/1983,138,143,146,N06W,B,B8.4,4337,B,C,R,O,CRO,40,177,1983
11/10/1983,1803,1815,1953,N14W,C,C2.4,4331,A,H,S,X,HSX,60,177,1983
11/27/1983,2254,2254,2259,N17E,B,B1.9,4366,B,B,X,O,BXO,20,14,1983
12/1/1983,1044,1049,1106,S16W,C,C5.4,4054,B,C,A,O,CAO,90,106,1983
12/4/1983,1900,1900,1903,S08E,C,C0.4,4142,B,D,S,O,DSO,30,88,1983
12/5/1983,150,157,205,S12W,C,C8.2,4173,BG,E,K,I,EKI,70,152,1983
12/5/1983,1938,1938,1954,S11E,C,C1.8,4172,B,E,A,I,EAI,10,152,1983
12/5/1983,21,23,45,S09W,C,C5.5,4175,B,C,S,O,CSO,30,152,1983
12/13/1983,143,149,222,S14W,C,C2.9,4376,B,C,A,O,CAO,0,90,1983
12/15/1983,1,1,19,S15W,B,B6.1,4376,B,D,S,O,DSO,90,68,1983
1/2/1984,749,749,758,N13W,C,C1.9,4403,B,D,A,I,DAI,80,142,1984
1/9/1984,229,229,248,S07W,B,B4.3,4567,BD,D,K,I,DKI,60,65,1984
1/14/1984,1705,1710,1720,S13E,B,B3.3,4392,B,E,A,O,EAO,20,60,1984
1/17/1984,200,201,204,S13W,B,B2.1,4392,A,H,H,X,HHX,90,67,1984
1/18/1984,458,500,521,S02E,B,B4.6,4394,B,D,S,O,DSO,40,64,1984
1/19/1984,1155,1212,1234,S03E,B,B3.2,4394,A,H,S,X,HSX,20,67,1984
1/23/1984,417,418,428,N12E,C,C3.1,4399,A,H,K,X,HKX,30,92,1984
1/24/1984,2022,2022,2033,S06W,C,C1.1,4396,B,E,A,O,EAO,60,92,1984
1/25/1984,140,143,147,S06W,C,C1.1,4396,B,D,S,O,DSO,90,130,1984
